asin,reviewerID,overall,unixReviewTime,timestamp,year
0,2672,3.0,1493596800,2017-05-01 02:00:00,2017
0,1144,1.0,1456012800,2016-02-21 01:00:00,2016
0,4191,5.0,1428624000,2015-04-10 02:00:00,2015
0,4148,4.0,1420934400,2015-01-11 01:00:00,2015
0,48,2.0,1411084800,2014-09-19 02:00:00,2014
0,650,2.0,1396915200,2014-04-08 02:00:00,2014
0,178,5.0,1365206400,2013-04-06 02:00:00,2013
0,783,4.0,1360713600,2013-02-13 01:00:00,2013
0,2009,5.0,1360281600,2013-02-08 01:00:00,2013
0,890,5.0,1356134400,2012-12-22 01:00:00,2012
0,875,2.0,1355702400,2012-12-17 01:00:00,2012
0,4104,5.0,1347408000,2012-09-12 02:00:00,2012
1,1684,5.0,1494892800,2017-05-16 02:00:00,2017
1,250,5.0,1484524800,2017-01-16 01:00:00,2017
1,1207,5.0,1458345600,2016-03-19 01:00:00,2016
1,775,5.0,1454284800,2016-02-01 01:00:00,2016
1,913,5.0,1443571200,2015-09-30 02:00:00,2015
1,1170,5.0,1419638400,2014-12-27 01:00:00,2014
1,2608,5.0,1410393600,2014-09-11 02:00:00,2014
1,2752,5.0,1393632000,2014-03-01 01:00:00,2014
3,3464,5.0,1291507200,2010-12-05 01:00:00,2010
3,1447,5.0,1372982400,2013-07-05 02:00:00,2013
3,3708,5.0,1359244800,2013-01-27 01:00:00,2013
3,702,5.0,1347926400,2012-09-18 02:00:00,2012
2,2976,5.0,1215302400,2008-07-06 02:00:00,2008
2,972,5.0,1390089600,2014-01-19 01:00:00,2014
2,3869,5.0,1389139200,2014-01-08 01:00:00,2014
2,1474,5.0,1356048000,2012-12-21 01:00:00,2012
2,3783,3.0,1353024000,2012-11-16 01:00:00,2012
2,1898,5.0,1334793600,2012-04-19 02:00:00,2012
4,860,4.0,1520035200,2018-03-03 01:00:00,2018
4,1663,5.0,1516147200,2018-01-17 01:00:00,2018
4,3700,5.0,1514332800,2017-12-27 01:00:00,2017
4,1343,4.0,1508198400,2017-10-17 02:00:00,2017
4,4083,5.0,1502841600,2017-08-16 02:00:00,2017
4,2202,1.0,1492387200,2017-04-17 02:00:00,2017
4,303,5.0,1491264000,2017-04-04 02:00:00,2017
4,3981,5.0,1486771200,2017-02-11 01:00:00,2017
4,3677,2.0,1485475200,2017-01-27 01:00:00,2017
4,3589,5.0,1483833600,2017-01-08 01:00:00,2017
4,726,4.0,1483660800,2017-01-06 01:00:00,2017
4,2064,5.0,1480982400,2016-12-06 01:00:00,2016
4,3059,5.0,1478217600,2016-11-04 01:00:00,2016
4,32,5.0,1472860800,2016-09-03 02:00:00,2016
4,3332,5.0,1468713600,2016-07-17 02:00:00,2016
4,3263,5.0,1458864000,2016-03-25 01:00:00,2016
4,1207,3.0,1458345600,2016-03-19 01:00:00,2016
4,1201,5.0,1450224000,2015-12-16 01:00:00,2015
4,1886,5.0,1449273600,2015-12-05 01:00:00,2015
4,858,5.0,1442880000,2015-09-22 02:00:00,2015
4,3816,5.0,1442188800,2015-09-14 02:00:00,2015
4,3323,4.0,1428019200,2015-04-03 02:00:00,2015
4,2701,5.0,1427587200,2015-03-29 01:00:00,2015
4,105,5.0,1426809600,2015-03-20 01:00:00,2015
4,4127,5.0,1426723200,2015-03-19 01:00:00,2015
4,2331,4.0,1425513600,2015-03-05 01:00:00,2015
4,1412,5.0,1423008000,2015-02-04 01:00:00,2015
4,3761,4.0,1421539200,2015-01-18 01:00:00,2015
4,2714,5.0,1419984000,2014-12-31 01:00:00,2014
4,457,5.0,1417392000,2014-12-01 01:00:00,2014
4,745,4.0,1413936000,2014-10-22 02:00:00,2014
4,1167,4.0,1410825600,2014-09-16 02:00:00,2014
4,901,3.0,1409443200,2014-08-31 02:00:00,2014
4,2462,4.0,1398124800,2014-04-22 02:00:00,2014
4,2392,5.0,1397692800,2014-04-17 02:00:00,2014
